MsgID.STATE,0.0000000,False,False
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,53.0850000,73.5868454,-0.0165116,-0.0582246
MsgID.LOCAL_VELOCITY,53.0850000,-0.0000213,-0.0000078,0.0000141
MsgID.GLOBAL_POSITION,0.0000000,-122.3974523,37.7931432,0.0750000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,53.3350000,73.6388626,0.0822184,-0.0755116
MsgID.LOCAL_VELOCITY,53.3350000,-0.0000287,-0.0000010,0.0000201
MsgID.LOCAL_POSITION,53.5860000,73.7029419,-0.1693334,-0.0829576
MsgID.LOCAL_VELOCITY,53.5860000,-0.0000302,0.0000007,0.0000122
MsgID.GLOBAL_POSITION,0.0000000,-122.3974552,37.7931437,0.0820000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.GLOBAL_POSITION,0.0000000,-122.3974535,37.7931429,0.0760000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,53.8360000,73.6118011,-0.0199228,-0.0767497
MsgID.LOCAL_VELOCITY,53.8360000,-0.0000338,0.0000061,0.0000220
MsgID.GLOBAL_HOME,0.0000000,-122.3974533,37.7924804,0.0000000
MsgID.STATE,0.0000000,True,True
MsgID.GLOBAL_POSITION,0.0000000,-122.3974523,37.7931441,0.0560000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,54.0860000,73.7386398,0.0816350,-0.0564570
MsgID.LOCAL_VELOCITY,54.0860000,-0.0000339,0.0000117,0.0000169
MsgID.GLOBAL_POSITION,0.0000000,-122.3974539,37.7931449,0.0250000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,54.3370000,73.8347931,-0.0558660,-0.0254037
MsgID.LOCAL_VELOCITY,54.3370000,-0.0000287,0.0000115,0.0000213
MsgID.GLOBAL_POSITION,0.0000000,-122.3974556,37.7931427,-0.0090000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,54.5860000,73.5898895,-0.2038899,0.0096355
MsgID.LOCAL_VELOCITY,54.5860000,-0.0000211,0.0000070,0.0000138
MsgID.GLOBAL_POSITION,0.0000000,-122.3974543,37.7931437,-0.0410000
